ConceptID	Active	FSN	USPreferredTerm
77199003	1	Rickettsia montanensis (organism)	Rickettsia montanensis
77213006	1	Afghan hound (organism)	Afghan hound
77224008	1	Spina bifida of lumbar region (disorder)	Spina bifida of lumbar region
77225009	1	Blind loop syndrome (disorder)	Blind loop syndrome
77235003	1	San Angelo virus (organism)	San Angelo virus
77236002	1	Large white pig (organism)	Large white pig
77248004	1	Infection control procedure (procedure)	Infection control procedure
77252004	1	Pityriasis rosea (disorder)	Pityriasis rosea
77259008	1	Prolonged second stage of labor (disorder)	Prolonged second stage of labor
77265008	1	Furuncle of toe (disorder)	Furuncle of toe
77281003	1	Calcofluor white stain (procedure)	Calcofluor white stain
77296004	1	Infarction of breast (disorder)	Infarction of breast
77313009	1	Technetium (99m-Tc) exametazime (substance)	Technetium (99m-Tc) exametazime
77318000	1	General diet for adult (finding)	General diet for adult
77329001	1	Mouth breathing (finding)	Mouth breathing
77332003	1	Partialism (disorder)	Partialism
77343006	1	Angiography (procedure)	Angiography
77352002	1	Genus Shigella (organism)	Shigella
77377001	1	Leptospirosis (disorder)	Leptospirosis
77386006	1	Pregnant (finding)	Pregnant
77414002	1	Cheilognathoschisis (disorder)	Cheilognathoschisis
77416000	1	Jealousy (finding)	Jealousy
77427003	1	Activity intolerance (finding)	Activity intolerance
77444004	1	Bone pin, device (physical object)	Bone pin
77465005	1	Transplantation (procedure)	Transplantation
77477000	1	Computerized axial tomography (procedure)	Computerized axial tomography
77480004	1	Congenital biliary atresia (disorder)	Congenital biliary atresia
77489003	1	Pterygium (disorder)	Pterygium
77493009	1	Fracture of pelvis (disorder)	Fracture of pelvis
77502007	1	Atacamenos (ethnic group)	Atacamenos
77506005	1	Infection caused by Trypanosoma cruzi (disorder)	Infection by Trypanosoma cruzi
77507001	1	Mixed conductive AND sensorineural hearing loss (disorder)	Mixed conductive AND sensorineural hearing loss
77528005	1	Cholelithiasis with obstruction (disorder)	Cholelithiasis with obstruction
77543007	1	Ligation of fallopian tube (procedure)	Ligation of fallopian tube
77545000	1	Chronic hypotension (disorder)	Chronic hypotension
77547008	1	Degeneration of intervertebral disc (disorder)	Degeneration of intervertebral disc
77568009	1	Back structure, excluding neck (body structure)	Back structure, excluding neck
77583004	1	Structure of anulus fibrosus of aorta (body structure)	Structure of anulus fibrosus of aorta
77588008	1	Exposure to animate mechanical force (event)	Exposure to animate mechanical force
77595004	1	Reduction deformity of lower limb (disorder)	Reduction deformity of lower limb
77599005	1	Toeing-in (finding)	Toeing-in
77621008	1	Structure of supraclavicular region of neck (body structure)	Structure of supraclavicular region of neck
77671006	1	Antidiuretic hormone (substance)	Antidiuretic hormone
77674003	1	Hemianopia (finding)	Hemianopia
77686000	1	Kwakiutl (ethnic group)	Kwakiutl
77692006	1	Hypersomnia (disorder)	Hypersomnia
77698005	1	Protein exchange list (finding)	Protein exchange list
77702009	1	Malnutrition of mild degree (Gomez: 75% to less than 90% of standard weight) (disorder)	Malnutrition of mild degree (Gomez: 75% to less than 90% of standard weight)
77712002	1	Francisella novicida (organism)	Francisella novicida
77720000	1	Clip, device (physical object)	Clip
77721001	1	Opioid intoxication (disorder)	Opioid intoxication
77740007	1	Struck by falling tool (event)	Struck by falling tool
77777004	1	Bone staple, device (physical object)	Bone staple
77778009	1	Structure of pancreatic lymph node (body structure)	Structure of pancreatic lymph node
77797009	1	Hereditary corneal dystrophy (disorder)	Hereditary corneal dystrophy
77806000	1	Calorie restricted diet (finding)	Calorie restricted diet
77831004	1	Structure of upper inner quadrant of breast (body structure)	Structure of upper inner quadrant of breast
77854008	1	Failed medical induction of labor (disorder)	Failed medical induction of labor
77860008	1	Derangement of posterior horn of lateral meniscus (disorder)	Derangement of posterior horn of lateral meniscus
77867006	1	Shortened QT interval (finding)	Shortened QT interval
77880009	1	Rectal pain (finding)	Rectal pain
77896007	1	Cytopathology procedure, cell block and smear preparation (procedure)	Cytopathology procedure, cell block and smear preparation
77939001	1	Syphilitic disseminated retinochoroiditis (disorder)	Syphilitic disseminated retinochoroiditis
77943002	1	Selected 20 gram protein diet (finding)	Selected 20 gram protein diet
77945009	1	Simple renal cyst (disorder)	Simple renal cyst
77956009	1	Steinert myotonic dystrophy syndrome (disorder)	Steinert myotonic dystrophy syndrome
77970009	1	Benign hypertensive heart disease without congestive heart failure (disorder)	Benign hypertensive heart disease without congestive heart failure
77971008	1	Iridocyclitis (disorder)	Iridocyclitis
77993003	1	Exposure to attack by other person (event)	Exposure to attack by other person
77994009	1	Primary localized osteoarthrosis of pelvic region (disorder)	Primary localized osteoarthrosis of pelvic region
78004001	1	Bulimia nervosa (disorder)	Bulimia nervosa
78014005	1	Urine (substance)	Urine
78018008	1	Complete phocomelia of upper limb (disorder)	Complete phocomelia of upper limb
78023008	1	Strontium-87m (substance)	Strontium-87m
78031003	1	Rheumatic aortic regurgitation (disorder)	Rheumatic aortic regurgitation
78048006	1	Candidiasis (disorder)	Candidiasis
78065002	1	Enterococcus faecalis (organism)	Enterococcus faecalis
78067005	1	Placental structure (body structure)	Placental structure
78076003	1	Structure of lens of eye (body structure)	Lens clear
78077007	1	Battered spouse syndrome (finding)	Battered spouse syndrome
78078002	1	Struck by falling liquid matter (event)	Struck by falling liquid matter
78092008	1	Drug rehabilitation (regime/therapy)	Drug rehabilitation
78112006	1	Mycobacterium phlei (organism)	Mycobacterium phlei
78129009	1	Thrombotic thrombocytopenic purpura (disorder)	Thrombotic thrombocytopenic purpura
78141002	1	Erb-Duchenne paralysis (disorder)	Erb-Duchenne paralysis
78150000	1	Soft diet (finding)	Soft diet
78152008	1	Multiple cranial nerve palsy (disorder)	Multiple cranial nerve palsy
78153003	1	City dweller (finding)	City dweller
78164000	1	Feeding problem (finding)	Feeding problem
78167007	1	Larva of genus Taenia (organism)	Cysticercus
78181009	1	Giardia lamblia (organism)	Giardia lamblia
78197004	1	Comedocarcinoma, noninfiltrating (morphologic abnormality)	Comedocarcinoma, noninfiltrating
78214003	1	Lakeland terrier (organism)	Lakeland terrier
78222005	1	Denial - mental defense mechanism (finding)	Denial - mental defense mechanism
78246003	1	Mexican hairless dog (organism)	Mexican hairless dog
78267003	1	Cocaine abuse (disorder)	Cocaine abuse
78269000	1	Bipolar I disorder, single manic episode, in partial remission (disorder)	Bipolar I disorder, single manic episode, in partial remission
78275009	1	Obstructive sleep apnea syndrome (disorder)	Obstructive sleep apnea syndrome
78277001	1	Temporal lobe structure (body structure)	Temporal lobe structure
78314001	1	Osteogenesis imperfecta (disorder)	Osteogenesis imperfecta
78318003	1	History and physical examination, annual for health maintenance (procedure)	History and physical examination, annual for health maintenance
78331008	1	Fall from gymnastic bars (event)	Fall from gymnastic bars
78361000	1	Engaged in falling (event)	Engaged in falling
78370002	1	Scleritis (disorder)	Scleritis
78418002	1	Operation on heart and pericardium (procedure)	Operation on heart and pericardium
78420004	1	Viral enteritis (disorder)	Viral enteritis
78421000	1	Intramuscular route (qualifier value)	Intramuscular route
78427001	1	Occupational noise exposure (event)	Occupational noise exposure
78435003	1	Ganglion of joint (disorder)	Ganglion of joint
78444002	1	Mycobacterium sphagni (organism)	Mycobacterium sphagni
78455002	1	Subjective visual disturbance (disorder)	Subjective visual disturbance
78456001	1	Normal menstrual cycle (finding)	Normal menstrual cycle
78475006	1	Hepatitis E virus (organism)	Hepatitis E virus
78480002	1	Structure of right pulmonary artery (body structure)	Structure of right pulmonary artery
78481003	1	Iofetamine (123-I) hydrochloride (substance)	Iofetamine (123-I) hydrochloride
78502005	1	Lactose free diet (finding)	Lactose free diet
78513008	1	Fusion binocular vision (observable entity)	Fusion binocular vision
78514002	1	Thigh pain (finding)	Thigh pain
78516000	1	Fracture of sternum (disorder)	Fracture of sternum
78523004	1	Late effect of radiation (disorder)	Late effect of radiation
78524005	1	Alcohol-induced sexual dysfunction (finding)	Alcohol-induced sexual dysfunction
78533007	1	Irrigation of urinary bladder (procedure)	Irrigation of urinary bladder
78541007	1	Milking Shorthorn cattle breed (organism)	Milking Shorthorn cattle breed
78544004	1	Chronic hypertensive uremia (disorder)	Chronic hypertensive uremia
78559005	1	Operative procedure on shoulder region (procedure)	Operative procedure on shoulder
78570003	1	Indium (111-In) transferrin (substance)	Indium (111-In) transferrin
78580004	1	Mumps orchitis (disorder)	Mumps orchitis
78609007	1	Chronic peritoneal effusion (disorder)	Chronic peritoneal effusion
78622004	1	Galactorrhea not associated with childbirth (disorder)	Galactorrhea not associated with childbirth
78623009	1	Endometritis (disorder)	Endometritis
78629008	1	Total self-care deficit (finding)	Total self-care deficit
78633001	1	Altered thought processes (finding)	Altered thought processes
78648007	1	At risk for infection (finding)	At risk for infection
78667006	1	Dysthymia (disorder)	Dysthymia
78678003	1	Sus scrofa (organism)	Sus scrofa
78686003	1	Copper (64-Cu) acetate (substance)	Copper (64-Cu) acetate
78715003	1	Subdeltoid bursitis (disorder)	Subdeltoid bursitis
78737005	1	Frontal sinusitis (disorder)	Frontal sinusitis
78740005	1	Complete monosomy 21 syndrome (disorder)	Complete monosomy 21 syndrome
78745000	1	Urticaria pigmentosa (disorder)	Urticaria pigmentosa
78768009	1	Subconjunctival hemorrhage (disorder)	Subconjunctival hemorrhage
78808002	1	Essential hypertension complicating AND/OR reason for care during pregnancy (disorder)	Essential hypertension complicating AND/OR reason for care during pregnancy
78809005	1	Gastric polyp (disorder)	Gastric polyp
78823007	1	Life support procedure (procedure)	Life support procedure
78857004	1	Natural death with proved cause without autopsy (event)	Natural death with proved cause without autopsy
78868004	1	Chronic mucoid otitis media (disorder)	Chronic mucoid otitis media
78869007	1	Nuclear fast red stain (substance)	Nuclear fast red stain
78875003	1	Cortical senile cataract (disorder)	Cortical senile cataract
78895009	1	Congenital pneumonia (disorder)	Congenital pneumonia
78904004	1	Chest wall structure (body structure)	Chest wall structure
78961009	1	Splenic structure (body structure)	Splenic structure
78962002	1	Kissing (finding)	Kissing
78972004	1	Structure of pedicle of vertebra (body structure)	Structure of pedicle of vertebra
78975002	1	Malignant essential hypertension (disorder)	Malignant essential hypertension
78981005	1	Genus Mycoplasma (organism)	Genus Mycoplasma
78994007	1	British landrace pig (organism)	British landrace pig
79010009	1	Parenthood (observable entity)	Parenthood
79012001	1	Vaginospasm (finding)	Vaginospasm
79015004	1	Worried (finding)	Worried
79035003	1	Anemia due to unknown mechanism (disorder)	Anemia due to unknown mechanism
79068005	1	Needle, device (physical object)	Needle
79095000	1	Complete excision of organ (procedure)	Complete excision
79128009	1	Salmonella Paratyphi A (organism)	Salmonella Paratyphi A
79139007	1	Petting (finding)	Petting
79142001	1	Suprapulmonic valve area structure (body structure)	Suprapulmonic valve area structure
79163004	1	Structure of left lobe of thyroid gland (body structure)	Structure of left lobe of thyroid gland
79168008	1	Congenital genu varum (disorder)	Congenital genu varum
79184009	1	Bladder trabeculation (disorder)	Bladder trabeculation
79197006	1	Rubidium-82 (substance)	Rubidium-82
79206001	1	Specialized medical examination (procedure)	Specialized medical examination
79210003	1	Electra complex (finding)	Electra complex
79255005	1	Mentum presentation of fetus (disorder)	Mentum presentation of fetus
79261008	1	Van der Woude syndrome (disorder)	Van der Woude syndrome
79267007	1	Retinal migraine (disorder)	Retinal migraine
79268002	1	Polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes syndrome (disorder)	POEMS syndrome
79280005	1	Hypersomnia with sleep apnea (disorder)	Hypersomnia with sleep apnea
79283007	1	Skin structure of tip of nose (body structure)	Skin structure of tip of nose
79284001	1	Rickettsia typhi (organism)	Rickettsia typhi
79295007	1	Boston terrier (organism)	Boston terrier
79298009	1	Mild major depression, single episode (disorder)	Mild major depression, single episode
79313003	1	Skin structure of helix (body structure)	Skin structure of helix
79315005	1	Mechanical complication due to urethral indwelling catheter (disorder)	Mechanical complication due to urethral indwelling catheter
79342006	1	Ectropion of cervix (disorder)	Ectropion of cervix
79348005	1	Simple partial seizure, consciousness not impaired (disorder)	Simple partial seizure, consciousness not impaired
79353000	1	Tibia vara (disorder)	Tibia vara
79361005	1	Structure of fontanel of skull (body structure)	Structure of fontanel of skull
79365001	1	Decreased stress (finding)	Decreased stress
79367009	1	Child diabetes diet (finding)	Child diabetes diet
79369007	1	Complication of transplanted pancreas (disorder)	Complication of transplanted pancreas
79385002	1	Lowe syndrome (disorder)	Lowe syndrome
79410001	1	Congenital cataract (disorder)	Congenital cataract
79411002	1	Acute prostatitis (disorder)	Acute prostatitis
79420006	1	NX category (finding)	NX category
79434006	1	Quechua (ethnic group)	Quechua
79437004	1	Rickettsia rhipicephali (organism)	Rickettsia rhipicephali
79458005	1	Ascending (qualifier value)	Ascending
79471008	1	Sudden hearing loss (disorder)	Sudden hearing loss
79477007	1	Gallium-66 (substance)	Gallium-66
79484004	1	Closed transcervical fracture of femur (disorder)	Closed transcervical fracture of femur
79502000	1	Skin structure of tragus (body structure)	Skin structure of tragus
79523006	1	Bromine-76 (substance)	Bromine-76
79524000	1	Ecouteurism (disorder)	Ecouteurism
79546008	1	Closed fracture of three ribs (disorder)	Closed fracture of three ribs
79573009	1	Accident while engaged in household activity (event)	Accident while engaged in household activity
79586000	1	Tubal pregnancy (disorder)	Tubal pregnancy
79591004	1	Spastic paralysis due to spinal birth injury (disorder)	Spastic paralysis due to spinal birth injury
79601000	1	Bone structure of scapula (body structure)	Bone structure of scapula
79603002	1	Romedale sheep (organism)	Romedale sheep
79604008	1	Disorder of breast (disorder)	Disorder of breast
79610008	1	Technetium (99m-Tc) albumin (substance)	Technetium (99m-Tc) albumin
79619009	1	Mitral valve stenosis (disorder)	Mitral valve stenosis
79631006	1	Absence seizure (disorder)	Absence seizure
79643007	1	Right sacroanterior position (finding)	Right sacroanterior position
79652003	1	Internal structure of eyeball (body structure)	Internal structure of eyeball
79654002	1	Edema (morphologic abnormality)	Edema
79671001	1	Inferior vena cava syndrome (disorder)	Inferior vena cava syndrome
79688008	1	Respiratory obstruction (disorder)	Respiratory obstruction
79692001	1	Right to left cardiovascular shunt (finding)	Right to left cardiovascular shunt
79718009	1	Structure of right carotid sinus (body structure)	Structure of right carotid sinus
79720007	1	Chronic nonalcoholic liver disease (disorder)	Chronic nonalcoholic liver disease
79733001	1	Amputation above-knee (procedure)	Amputation above-knee
79734007	1	Noninflammatory disorder of ovary (disorder)	Noninflammatory disorder of ovary
79740000	1	Candidiasis of mouth (disorder)	Candidiasis of mouth
79741001	1	Common bile duct structure (body structure)	Common bile duct structure
79779006	1	Patient discharge, deceased, no autopsy (procedure)	Patient discharge, deceased, no autopsy
79811009	1	Electric blanket, device (physical object)	Electric blanket
79814001	1	Poland China pig (organism)	Poland China pig
79817008	1	Mycobacterium shimoidei (organism)	Mycobacterium shimoidei
79823003	1	Panic (finding)	Panic
79841006	1	Genetic counseling (procedure)	Genetic counseling
79875007	1	Crimean-Congo hemorrhagic fever virus (organism)	Crimean-Congo hemorrhagic fever virus
79879001	1	Breath smells unpleasant (finding)	Breath smells unpleasant
79883001	1	Cyst of ovary (disorder)	Cyst of ovary
79888005	1	Sacroanterior position (finding)	Sacroanterior position
79890006	1	Loss of appetite (finding)	Loss of appetite
79917009	1	Implantation of pulmonary valve prosthesis or synthetic device (procedure)	Implantation of pulmonary valve prosthesis or synthetic device
79922009	1	Epigastric pain (finding)	Epigastric pain
79926007	1	Structure of sacral lymph node (body structure)	Structure of sacral lymph node
79951008	1	Skin of occipital region (body structure)	Skin of occipital region
79962008	1	Diffuse spasm of esophagus (disorder)	Diffuse spasm of esophagus
79993009	1	Government hospital (environment)	Government hospital
80049006	1	Structure of forceps major (body structure)	Structure of forceps major
80060002	1	Furred tongue (disorder)	Furred tongue
80068009	1	Swelling of limb (finding)	Swelling of limb
80084005	1	Lucie pig (organism)	Lucie pig
80093006	1	Enophthalmos (disorder)	Enophthalmos
80098002	1	Diffuse Lewy body disease (disorder)	Diffuse Lewy body disease
80131009	1	Landrace pig (organism)	Landrace pig
80140008	1	Structure of permanent mandibular right first premolar tooth (body structure)	Structure of permanent mandibular right first premolar tooth
80141007	1	Hemoglobinopathy (disorder)	Hemoglobinopathy
80142000	1	Perforation of nasal septum (disorder)	Perforation of nasal septum
80144004	1	Bone structure of calcaneum (body structure)	Bone structure of calcaneum
80146002	1	Excision of appendix (procedure)	Appendectomy
80149009	1	Manual penile stimulation (finding)	Manual penile stimulation
80166006	1	Streptococcus pyogenes (organism)	Streptococcus pyogenes
80182007	1	Irregular periods (finding)	Irregular periods
80193009	1	Postgastric surgery syndrome (disorder)	Postgastric surgery syndrome
80208004	1	Portuguese (ethnic group)	Portuguese
80237000	1	Cocoa butter (substance)	Cocoa butter
80243003	1	Eyelid structure (body structure)	Eyelid structure
80246006	1	Special stain, blood or bone marrow, explain by report (procedure)	Special stain, blood or bone marrow, explain by report
80248007	1	Left breast structure (body structure)	Left breast structure
80272002	1	Structure of carotid bifurcation (body structure)	Structure of carotid bifurcation
80274001	1	Glomerular filtration rate (observable entity)	Glomerular filtration rate
80281008	1	Cleft lip (disorder)	Cleft lip
80305003	1	Pontamine sky blue 6BX stain (substance)	Pontamine sky blue 6BX stain
80313002	1	Palpitations (finding)	Palpitations
80321008	1	Mesangiocapillary glomerulonephritis (disorder)	Mesangiocapillary glomerulonephritis
80327007	1	Serous otitis media (disorder)	Serous otitis media
80353004	1	Enamel caries (disorder)	Enamel caries
80359000	1	Infant diet 7-9 months: meat and egg (finding)	Infant diet 7-9 months: meat and egg
80384002	1	Epiglottitis (disorder)	Epiglottitis
80388004	1	Chronic gonorrhea of upper genitourinary tract (disorder)	Chronic gonorrhea of upper genitourinary tract
80394007	1	Hyperglycemia (disorder)	Hyperglycemia
80402001	1	Insertion of implantable venous access port (procedure)	Insertion of implantable venous access port
80423007	1	Spontaneous pneumothorax (disorder)	Spontaneous pneumothorax
80426004	1	Prolapsed internal hemorrhoids (disorder)	Prolapsed internal hemorrhoids
80434005	1	Structure of vertical occipital fasciculus (body structure)	Structure of vertical occipital fasciculus
80446009	1	Complete bilateral cleft lip (disorder)	Complete bilateral cleft lip
80447000	1	Structure of cerebral aqueduct (body structure)	Structure of cerebral aqueduct
80495009	1	Sleep walking disorder (disorder)	Sleep walking disorder
80515008	1	Large liver (disorder)	Large liver
80520008	1	Victim of trampling (finding)	Victim of trampling
80522000	1	Rehabilitation hospital (environment)	Rehabilitation hospital
80528001	1	Xosa (ethnic group)	Xosa
80544005	1	Spongy degeneration of central nervous system (disorder)	Spongy degeneration of central nervous system
80576000	1	Sussex spaniel (organism)	Sussex spaniel
80580005	1	Exposure to attack by marine animal (event)	Exposure to attack by marine animal
80581009	1	Upper abdomen structure (body structure)	Upper abdomen structure
80583007	1	Severe anxiety (panic) (finding)	Severe anxiety (panic)
80585000	1	Intolerant of cold (finding)	Intolerant of cold
80600003	1	Acute suppuration of nasal sinus (disorder)	Acute suppuration of nasal sinus
80601004	1	At risk for activity intolerance (finding)	At risk for activity intolerance
80604007	1	Acute gonococcal bartholinitis (disorder)	Acute gonococcal bartholinitis
80621003	1	Structure of choroid plexus (body structure)	Structure of choroid plexus
80622005	1	Abducens nerve structure (body structure)	Abducens nerve structure
80623000	1	Sleep-wake schedule disorder, delayed phase type (disorder)	Sleep-wake schedule disorder, delayed phase type
80635001	1	Cardiovascular stress test using treadmill (procedure)	Cardiovascular stress test using treadmill
80638004	1	Work-related activity, function (observable entity)	Work-related activity
80640009	1	Perirenal abscess (disorder)	Perirenal abscess
80645004	1	Chronic mastoiditis (disorder)	Chronic mastoiditis
80647007	1	Structure of maxillary right canine tooth (body structure)	Structure of maxillary right canine tooth
80659006	1	Disorder of skin and/or subcutaneous tissue (disorder)	Disorder of skin and/or subcutaneous tissue
80660001	1	Mauriac's syndrome (disorder)	Mauriac's syndrome
80690008	1	Degenerative disease of the central nervous system (disorder)	Degenerative disease of the central nervous system
80710001	1	Primary hypomagnesemia (disorder)	Primary hypomagnesemia
80711002	1	Narcissistic personality disorder (disorder)	Narcissistic personality disorder
80712009	1	Congenital spondylolysis of lumbosacral region (disorder)	Congenital spondylolysis of lumbosacral region
80751004	1	Xenon-133 (substance)	Xenon-133
80756009	1	Closed fracture of patella (disorder)	Closed fracture of patella
80764003	1	Restoration, inlay (procedure)	Restoration, inlay
80769008	1	Structure of tibial lymph node (body structure)	Structure of tibial lymph node
80770009	1	Secondary syphilis of liver (disorder)	Secondary syphilis of liver
80777007	1	Andalusian horse (organism)	Andalusian horse
80835003	1	Shorthorn cattle breed (organism)	Shorthorn cattle
80865008	1	Specimen mammography (procedure)	Specimen mammography
80867000	1	Structure of gluteal lymph node (body structure)	Structure of gluteal lymph node
80891009	1	Heart structure (body structure)	Heart structure
80897008	1	Legionella pneumophila (organism)	Legionella pneumophila
80910005	1	Skin sensation disturbance (finding)	Skin sensation disturbance
80917008	1	Toxin (substance)	Toxin
80919006	1	Jewelry (physical object)	Jewelry
80943009	1	Risk factor (observable entity)	Risk factor
80967001	1	Dental caries (disorder)	Dental caries
80979001	1	San Pierre pig (organism)	San Pierre pig
81000006	1	Pediculosis capitis (disorder)	Pediculosis capitis
81004002	1	Leprosy (disorder)	Leprosy
81016008	1	Optic disc structure (body structure)	Optic disc structure
81035008	1	Pakistani (Urduspeakers) (ethnic group)	Pakistani (Urduspeakers)
81040000	1	Pulmonary artery structure (body structure)	Pulmonary artery structure
81060008	1	Intestinal obstruction (disorder)	Intestinal obstruction
81075000	1	Pleural effusion associated with pulmonary infection (disorder)	Pleural effusion associated with pulmonary infection
81099000	1	Cervical arthrodesis (procedure)	Cervical arthrodesis
81105003	1	Cervical lymph node structure (body structure)	Cervical lymph node structure
81120009	1	Functional disorder of intestine (disorder)	Functional disorder of intestine
81128002	1	Structure of sinus of Valsalva (body structure)	Structure of sinus of Valsalva
81132008	1	Structure of scalene lymph node (body structure)	Structure of scalene lymph node
81147004	1	Fear of coitus (finding)	Fear of coitus
81234003	1	Walk-in clinic (environment)	Walk-in clinic
81256000	1	Anomaly of tooth position (disorder)	Anomaly of tooth position
81267004	1	Normande cattle breed (organism)	Normande cattle
81274009	1	Apocrine metaplasia (morphologic abnormality)	Apocrine metaplasia
81283004	1	Todas (ethnic group)	Todas
81302005	1	Worried well (finding)	Worried well
81308009	1	Disorder of brain (disorder)	Disorder of brain
81323004	1	Normal general body function (finding)	Normal general body function
81339006	1	Secondary syphilis of tonsil (disorder)	Secondary syphilis of tonsil
81345003	1	Stenosis of lacrimal canaliculi (disorder)	Stenosis of lacrimal canaliculi
81350009	1	Free-floating anxiety (finding)	Free-floating anxiety
81397005	1	Auramine O stain (substance)	Auramine O stain
81403004	1	Swedes (ethnic group)	Swedes
81405006	1	Open wound of upper limb (disorder)	Open wound of upper limb
81418003	1	Nummular eczema (disorder)	Nummular eczema
81463002	1	Bestiality (disorder)	Bestiality
81498004	1	Bursitis of hip (disorder)	Bursitis of hip
81502006	1	Hypopharyngeal structure (body structure)	Hypopharyngeal structure
81512004	1	Loose body in knee (disorder)	Loose body in knee
81516001	1	Partial nephrectomy (procedure)	Partial nephrectomy
81526008	1	Hydromeningomyelocele (disorder)	Hydromeningomyelocele
81529001	1	Bloodhound (organism)	Bloodhound
81531005	1	Diabetes mellitus type 2 in obese (disorder)	Type 2 diabetes mellitus in obese
81560001	1	Tongan (ethnic group)	Tongan
81564005	1	Chronic serous otitis media (disorder)	Chronic serous otitis media
81573002	1	Collagen disease (disorder)	Collagen disease
81576005	1	Closed fracture of phalanx of foot (disorder)	Closed fracture of phalanx of foot
81607005	1	Keeshond (organism)	Keeshond
81608000	1	Insomnia disorder related to known organic factor (disorder)	Insomnia disorder related to known organic factor
81621007	1	Indium (111-In) labeled erythrocyte (substance)	Indium (111-In) labeled erythrocyte
81626002	1	Malignant hypertension in obstetric context (disorder)	Malignant hypertension in obstetric context
81639003	1	Closed fracture of nasal bones (disorder)	Closed fracture of nasal bones
81642009	1	Late effect of spinal cord injury (disorder)	Late effect of spinal cord injury
81653003	1	Pehuenches (ethnic group)	Pehuenches
81654009	1	Coronal (qualifier value)	Coronal
81665004	1	Hepatitis B virus (organism)	Hepatitis B virus
81669005	1	Neurofibromatosis (morphologic abnormality)	Neurofibromatosis
81680005	1	Neck pain (finding)	Neck pain
81681009	1	Junctional premature beats (disorder)	Junctional premature beats
81701001	1	Vesicular stomatitis virus (organism)	Vesicular stomatitis virus
81703003	1	Chews tobacco (finding)	Chews tobacco
81704009	1	Sprue (disorder)	Sprue
81712001	1	Pain in female genitalia on intercourse (finding)	Pain in female genitalia on intercourse
81723002	1	Amputation (procedure)	Amputation
81727001	1	Skeletal muscle structure of neck (body structure)	Skeletal muscle structure of neck
81730008	1	Abnormal sexual state (finding)	Abnormal sexual state
81745001	1	Structure of eye proper (body structure)	Eye structure
81761004	1	Technetium (99m-Tc) microaggregated albumin (substance)	Technetium (99m-Tc) microaggregated albumin
81763001	1	At risk for injury (finding)	At risk for injury
81771002	1	Opitz-Frias syndrome (disorder)	Opitz-Frias syndrome
81774005	1	Klumpke-Déjerine paralysis as birth trauma (disorder)	Klumpke-Déjerine paralysis as birth trauma
81780002	1	Beckwith-Wiedemann syndrome (disorder)	Beckwith-Wiedemann syndrome
81808003	1	Hemarthrosis (disorder)	Hemarthrosis
81817003	1	Atherosclerosis of aorta (disorder)	Atherosclerosis of aorta
81827009	1	Diameter (qualifier value)	Diameter
81830002	1	Mononeuropathy simplex due to diabetes mellitus (disorder)	Mononeuropathy simplex due to diabetes mellitus
81838009	1	Mechanical clitoral stimulation (finding)	Mechanical clitoral stimulation
81839001	1	Medicinal product acting as anticoagulant agent (product)	Anticoagulant agent
81846005	1	Naiars (ethnic group)	Naiars
81866001	1	Maine coon cat (organism)	Maine coon cat
81870009	1	Parotidectomy (procedure)	Parotidectomy
81885003	1	Glottal fricative, function (observable entity)	Glottal fricative
81891001	1	Hypersecretion of ovarian androgens (disorder)	Hypersecretion of ovarian androgens
81902001	1	Sprain of medial collateral ligament of knee (disorder)	Sprain of medial collateral ligament of knee
81911001	1	Chewing tobacco (substance)	Chewing tobacco
81935006	1	Family conflict (finding)	Family conflict
81951003	1	Histoplasma (organism)	Histoplasma
81953000	1	Chest pain on exertion (finding)	Chest pain on exertion
81992007	1	Skin structure of scrotum (body structure)	Skin structure of scrotum
81996005	1	Torsion of testis (disorder)	Torsion of testis
82035006	1	Resection of polyp (procedure)	Resection of polyp
82062003	1	Congenital hydrocele (disorder)	Congenital hydrocele
82065001	1	Fracture of carpal bone (disorder)	Fracture of carpal bone
82066000	1	Bone density study, dual photon absorptiometry (procedure)	Bone density study, dual photon absorptiometry
82078001	1	Collection of blood specimen for laboratory (procedure)	Collection of blood specimen for laboratory
82119001	1	Thyroiditis (disorder)	Thyroiditis
82127005	1	Perianal abscess (disorder)	Perianal abscess
82141001	1	Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class A (disorder)	Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class A
82174001	1	Shona (ethnic group)	Shona
82195006	1	Normal male sexual function (finding)	Normal male sexual function
82196007	1	Vascular insufficiency of intestine (disorder)	Vascular insufficiency of intestine
82206008	1	Black cocker spaniel (organism)	Black cocker spaniel
82212003	1	Erosion of teeth (disorder)	Erosion of teeth
82236004	1	Familial x-linked hypophosphatemic vitamin D refractory rickets (disorder)	Familial x-linked hypophosphatemic vitamin D refractory rickets
82242000	1	Children's hospital (environment)	Children's hospital
82260000	1	Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class R (disorder)	Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class R
82264009	1	Product containing homatropine (medicinal product)	Homatropine-containing product
82271004	1	Injury of head (disorder)	Injury of head
82272006	1	Common cold (disorder)	Common cold
82275008	1	Allergic granulomatosis angiitis (disorder)	Eosinophilic granulomatosis with polyangiitis
