nct_id,overall_status,plan_to_share_ipd,plan_to_share_ipd_description,study_type,phase,study_first_submitted_date,official_title,enrollment,enrollment_type,primary_completion_month_year,primary_completion_date_type
NCT02990325,Recruiting,No,NA,Interventional,Phase 1/Phase 2,2016-12-07,"An Open-Label Study of the Safety, Pharmacokinetics, and Pharmacodynamics of ABX464 in HIV-1 Seronegative and Seropositive Adults",36,Anticipated,July 2018,Anticipated
NCT02987530,Recruiting,No,NA,Interventional,Phase 3,2016-11-30,"Phase III Multicenter Randomized Trial Evaluating in Patients at the Time of the Primary HIV-1 Infection, the Impact on the Viral Reservoir of a Combination Including Tenofovir/Emtricitabine and Dolutegravir or Tenofovir/Emtricitabine and Darunavir/Cobicistat",100,Anticipated,September 2019,Anticipated
NCT02976259,Not yet recruiting,No,NA,Interventional,Phase 3,2016-11-22,Kinetics of HIV-RNA Decay in Seminal Plasma of Men Receiving a Dolutegravir-based Regimen at the Time of Primary HIV Infection (IMEA 051-DOLUPRIM Study),20,Anticipated,January 2018,Anticipated
NCT02970136,Recruiting,No,NA,Interventional,N/A,2016-11-18,Increasing Uptake of Evidence-Based Screening Services Through CHW-led Multi-modality Intervention: South Florida Center for Reducing Health Disparities,900,Anticipated,"August 30, 2020",Anticipated
NCT02969161,Completed,No,NA,Observational,NA,2016-11-17,Safe Generations Plus: Mother Infant Retention Across the Option B-plus Cascade,616,Actual,May 2017,Actual
NCT02968849,Recruiting,No,NA,Interventional,Phase 2/Phase 3,2016-11-01,"A Pivotal Phase 2b/3 Multisite, Randomized, Double-blind, Placebo-controlled Clinical Trial to Evaluate the Safety and Efficacy of ALVAC-HIV (vCP2438) and Bivalent Subtype C gp120/MF59 in Preventing HIV-1 Infection in Adults in South Africa",5400,Anticipated,July 2021,Anticipated
NCT02951559,Recruiting,No,NA,Interventional,Phase 4,2016-10-27,Study of Nasal Brushing Collected OLFActory MUcosa Samples in the Diagnosis of Human Encephalopathies,250,Anticipated,February 2021,Anticipated
NCT02946164,Completed,No,NA,Interventional,N/A,2016-10-25,Advancing HIV Prevention and Linkage to Care Among MSM With Gamification,166,Actual,"October 31, 2017",Actual
NCT02938377,Recruiting,No,NA,Interventional,Phase 4,2016-10-17,Alcohol Research Consortium in HIV-Intervention Research Arm,259,Anticipated,August 2021,Anticipated
NCT02936401,Recruiting,No,NA,Interventional,N/A,2016-07-27,Interventions for Symptom Management in Older Patients With HAND,180,Anticipated,June 2019,Anticipated
NCT02935296,"Active, not recruiting",No,no individual data will be shared,Interventional,Phase 3,2016-10-12,Integrated Treatment and Prevention for People Who Inject Drugs: A Vanguard Study for a Network-based Randomized HIV Prevention Trial Comparing an Integrated Intervention Including Supported Antiretroviral Therapy to the Standard of Care,1281,Actual,"June 16, 2017",Actual
NCT02923999,Not yet recruiting,No,NA,Interventional,Phase 1,2016-08-10,Phase I Dose Escalation Trial to Evaluate Safety and Reactogenicity of Single IV Administration of P2G12,18,Anticipated,August 2019,Anticipated
NCT02923141,"Active, not recruiting",No,NA,Interventional,N/A,2016-09-28,"Trauma Intervention for Affect Regulation, AIDS, and Substances",16,Actual,July 2018,Anticipated
NCT02921516,Recruiting,No,NA,Interventional,N/A,2016-09-24,Growing Up: Intervening With HIV-Positive Adolescents in Resource-Poor Settings,240,Anticipated,May 2018,Anticipated
NCT02906007,Recruiting,No,NA,Interventional,Phase 1/Phase 2,2016-09-14,"A Phase I/II, Open-Label, Single Arm Study to Evaluate the Pharmacokinetics, Safety and Tolerability of Bedaquiline (BDQ) in Combination With Optimized Individualized Multidrug-Resistant Tuberculosis (MDR-TB) Therapy in HIV-Infected and HIV-Uninfected Infants, Children and Adolescents With MDR-TB Disease",72,Anticipated,June 2018,Anticipated
NCT02902185,"Active, not recruiting",No,We do not have data share plan because of participants' privacy.,Interventional,Phase 2/Phase 3,2016-09-06,Efficacy of the Histone Deacetylase Inhibitor Chidamide in Combination With Antiretroviral Therapy for Reactivation of the Latent HIV-1 Reservoir:a Randomized Controlled Clinical Trial,60,Actual,August 2018,Anticipated
NCT02897141,Completed,No,NA,Interventional,N/A,2016-09-07,Use of mHealth Technology for Supporting Symptom Management in Underserved Persons Living With HIV,80,Actual,"June 30, 2017",Actual
NCT02888678,"Active, not recruiting",No,NA,Interventional,N/A,2016-06-17,A Randomized Study Evaluating an Intervention Integrating Economic Strengthening and HIV Prevention Programs for Vulnerable Youth in South Africa,1773,Actual,"May 31, 2018",Anticipated
NCT02875119,Recruiting,No,NA,Interventional,Phase 1,2016-08-15,"A Phase 1 Trial to Evaluate the Safety, Pharmacokinetics (PK) and Pharmacodynamics (PD) of PC-6500 (Griffithsin [GRFT] in a Carrageenan Gel) in Healthy Women",36,Anticipated,June 2018,Anticipated
NCT02859259,Completed,No,NA,Interventional,Phase 1,2016-07-28,Relative Bioavailability Study of BMS-626529 Administered as Prodrug BMS-663068 From 150-mg Low-dose Extended-release Tablets Compared to 600-mg Reference Extended-release Tablet in Healthy Subjects,14,Actual,"August 12, 2016",Actual
NCT02858414,Recruiting,No,NA,Interventional,N/A,2016-07-29,Exploratory Study of Cellular Reservoirs in Blood From HIV Infected Patients: EURECA (ERANET to Unravel New Roads to Eradication and a Cure for AIDS) Study,40,Anticipated,December 2018,Anticipated
NCT02850016,Recruiting,No,NA,Interventional,Phase 2,2016-07-26,"A Phase 2a, Randomized Study of Romidepsin With or Without 3BNC117 to Evaluate the Effects on the HIV-1 Reservoir (ROADMAP)",30,Anticipated,December 2019,Anticipated
NCT02848586,Recruiting,No,NA,Interventional,N/A,2016-07-26,Effects of E-cigarettes (ECIGs) on Pulmonary Inflammation and Behavior in HIV Infected Smokers,20,Anticipated,November 2018,Anticipated
NCT02845284,Recruiting,No,NA,Interventional,N/A,2016-07-20,Enhanced HIV/Sexually Transmitted Infections and Pregnancy Prevention Study to Improve Adolescent Reproductive Health Services in Uganda,519,Anticipated,March 2019,Anticipated
NCT02841774,Recruiting,No,NA,Interventional,Phase 2,2016-07-14,High Intensity Lipid Lowering Following Acute Coronary Syndromes for Persons Living With Human Immunodeficiency Virus (HILLCLIMBER),30,Anticipated,March 2019,Anticipated
NCT02825797,Recruiting,No,NA,Interventional,Phase 1,2016-06-28,"An Phase 1b Study of the Safety, Pharmacokinetics and Antiretroviral Activity of the Combination of 3BNC117 and 10-1074 in HIV-infected Individuals",37,Anticipated,June 2018,Anticipated
NCT02824536,Completed,No,NA,Interventional,Phase 1,2016-06-28,A Phase 1 Study of the Safety and Pharmacokinetics of the Combination of 3BNC117 and 10-1074 in HIV-uninfected Adults,24,Actual,"January 9, 2018",Actual
NCT02810275,Completed,No,NA,Interventional,Phase 3,2016-06-19,Effect of Folic Acid on Homocysteine Levels and Flow-mediated Dilation in HIV and HIV-HCV Coinfected Patients: a Randomized Controlled Trial,69,Actual,July 2013,Actual
NCT02804724,Completed,No,NA,Observational,NA,2015-06-29,Factors Associated With Late HIV Diagnosis in Grampian: an Epidemiological Study,124,Actual,August 2015,Actual
NCT02797093,Recruiting,No,NA,Observational [Patient Registry],NA,2016-06-02,Impact of ART Adherence on HIV Persistence and Inflammation,100,Anticipated,March 2019,Anticipated
NCT02766049,Completed,No,NA,Interventional,Phase 1/Phase 2,2016-04-01,Phase I/II Study of Anti-HIV Cellular Therapy Based on Dendritic Cells Pulsed With Chemically Inactivated Virus,19,Actual,May 2014,Actual
NCT02744040,Recruiting,No,NA,Interventional,N/A,2016-04-08,Modulating the Impact of Critical Events in Early HIV Infection: Effect of ART Initiation and Alcohol Use,230,Anticipated,April 2020,Anticipated
NCT02743598,Recruiting,No,NA,Interventional,Phase 4,2016-04-07,"Effects of Liraglutide on Cognition, Chronic Inflammation and Glycemic Control in Overweight and Obese, HIV-infected Subjects With Type 2 Diabetes.",20,Anticipated,July 2018,Anticipated
NCT02720237,"Active, not recruiting",No,NA,Interventional,N/A,2016-03-15,Reducing Hazardous Alcohol Use & Human Immunodeficiency Virus (HIV) Viral Load: A Randomized Controlled Trial (RCT) in Antiretroviral Therapy (ART) Clinics in Vietnam,441,Actual,"May 31, 2018",Anticipated
NCT02710032,Recruiting,No,"Due to restrictions on sharing of human subjects data, other researchers' requests for access to data will be reviewed and subject to approval by the relevant IRBs.",Interventional,N/A,2016-03-08,TransPrEP: Social Network-Based PrEP Adherence for Transgender Women in Peru,90,Anticipated,July 2018,Anticipated
NCT02707900,Recruiting,No,NA,Interventional,Phase 1,2016-03-03,IGHID 11424 - A Pilot Trial of the Effect of Vorinostat and AGS-004 on Persistent HIV-1 Infection (The VOR VAX Study),12,Anticipated,February 2021,Anticipated
NCT02678767,Completed,No,NA,Interventional,Phase 2,2016-02-02,Ferumoxytol-enhanced Imaging and Quantitative Susceptibility Mapping in neuroAIDS,30,Actual,September 2017,Actual
NCT02671591,Completed,No,NA,Interventional,N/A,2016-01-26,A Pilot Study of PrEP Acceptance Among Young Black MSM,106,Actual,"February 1, 2016",Actual
NCT02666001,Completed,No,NA,Interventional,Phase 1,2016-01-06,"A Phase 1, Open-Label, Drug-Drug Interaction Study Between Methadone and BMS-663068; and Between Buprenorphine/Naloxone and BMS-663068",32,Actual,"June 29, 2016",Actual
NCT02663869,Recruiting,No,NA,Observational,NA,2015-12-21,Aging With HIV at Younger vs Older Age: a Diverse Population With Distinct Comorbidity Profiles,1600,Anticipated,January 2018,Anticipated
NCT02663856,Recruiting,No,NA,Observational,NA,2016-01-19,My Smart Age With HIV (MySAwH): Smartphone Self-assessment of Frailty and Information - Communication Technology to Promote Healthy Ageing in HIV.,300,Anticipated,February 2018,Anticipated
NCT02639754,Enrolling by invitation,No,NA,Interventional,N/A,2015-12-21,Community Intervention for HIV Testing & Care Linkage Among Young MSM in Bulgaria,320,Anticipated,December 2019,Anticipated
NCT02638493,Completed,No,NA,Observational,NA,2015-12-10,IGHID 11526 - The Compartmental Biology of HIV in the Male Genital Tract,26,Actual,October 2016,Actual
NCT02624180,Recruiting,No,NA,Interventional,Phase 2,2015-11-11,Inflammatory Pathogenesis of Coronary Atherosclerosis in HIV,102,Anticipated,September 2018,Anticipated
NCT02602418,Recruiting,No,NA,Interventional,N/A,2015-11-05,Neural Correlates of Working Memory Training for HIV Patients: A Randomized Control Clinical Trial,180,Anticipated,June 2018,Anticipated
NCT02564341,"Active, not recruiting",No,NA,Interventional,N/A,2015-09-28,Collaborative Care Intervention to Improve Providers' Opioid Prescribing for HIV-infected Patients - Intervention Component,41,Actual,June 2018,Anticipated
NCT02542020,Recruiting,No,NA,Observational,NA,2015-08-27,Prospective Evaluation of HIV Infected Patients Followed at Evandro Chagas National Institute of Infectious Disease (INI) - Oswaldo Cruz Foundation (FIOCRUZ) Using Non-invasive Methods for Estimation of Liver Fibrosis and Steatosis,2000,Anticipated,May 2018,Anticipated
NCT02525731,"Active, not recruiting",No,There is no plan to make individual participant data available.,Observational,NA,2015-08-12,Collaborative Care Intervention to Improve Providers' Opioid Prescribing for HIV-infected Patients - Patient Cohort Component,170,Actual,June 2018,Anticipated
NCT02481492,Completed,No,NA,Interventional,N/A,2015-06-22,Randomized Controlled Trial of Shang Ring Male Children Circumcision: Comparison Between Flip and No Flip Technique,100,Actual,December 2015,Actual
NCT02399384,Recruiting,No,Only researchers approved on the IRB protocol will have access to the data.,Observational,NA,2015-03-17,Myocardial Adipose Inflammation and Pericardial Adipose Volume as Markers for Coronary Artery Disease In HIV Positive Patients,12,Anticipated,July 2017,Anticipated
NCT02396355,Completed,No,NA,Observational,NA,2015-03-18,"Accuracy Evaluation of the BD FACS Presto System: Instrument, Software and BD CD4/%CD4/Hb Cartridge Assay",583,Actual,May 2015,Actual
NCT02384395,Recruiting,No,NA,Interventional,N/A,2015-03-04,IGHID 11417 - The Safety and Efficacy of Fixed Dose Combination Dolutegravir/Abacavir/Lamivudine FDC Initiated During Acute HIV Infection: Impact on the Latent HIV Reservoir and Long-Term Immunologic Effect,40,Anticipated,July 2021,Anticipated
NCT02234492,Recruiting,No,NA,Interventional,Phase 4,2014-08-20,The Effects of Statin Therapy on Coronary Flow Reserve and Inflammatory Markers in HIV-Positive Patients,82,Anticipated,September 2018,Anticipated
NCT02218320,Completed,No,NA,Observational,NA,2014-08-13,"A Phase IV, Open-Label Study to Compare Virologic and Immunologic Responses to Raltegravir and Dolutegravir in the Gastrointestinal Tract of HIV-Positive Men and Women",20,Actual,October 2015,Actual
NCT02214173,Completed,No,NA,Interventional,N/A,2014-08-01,The Effect of an Enhanced Rice Bran Nutritional Supplement on Metabolic Syndrome Variables in HIV,47,Actual,June 2016,Actual
NCT02148094,"Active, not recruiting",No,NA,Interventional,Early Phase 1,2014-05-22,"Closing a Critical HIV Prevention Gap: Demonstrating Safety and Effective Delivery of Daily Oral Pre-exposure Prophylaxis (PrEP) as Part of an HIV Combination Preventive Intervention for Sex Workers in Kolkata and Mysore-Mandya, India",1325,Actual,"April 30, 2018",Anticipated
NCT02116179,Completed,No,NA,Interventional,N/A,2014-04-14,DVD-based HIV/HCV Intervention for Drug-Involved Latino Criminal Justice Clients,201,Actual,May 2016,Actual
NCT02102724,Completed,No,NA,Interventional,Phase 2,2014-03-31,Fish Oil for HIV-Related Inflamm-aging and Immune Senescence,38,Actual,December 2015,Actual
NCT02042248,Completed,No,NA,Interventional,Phase 1,2014-01-17,IGHID 1309 -A Phase I Study to Evaluate the Kinetics of the Immunologic Response and Virologic Impact of AGS-004 in HIV-Infected Individuals Suppressed on Antiretroviral Therapy Initiated During Acute and Chronic HIV Infection,6,Actual,May 2016,Actual
NCT02028338,Completed,No,NA,Interventional,Phase 2,2014-01-02,Phae 2A Study of a Vaginal Ring Containing Dapivirine in Adolescent Females,96,Actual,July 2016,Actual
NCT02010593,Completed,No,NA,Interventional,Phase 2,2013-10-14,Phase 2a Safety Study of a Vaginal Matrix Ring Containing Dapivirine in a Postmenopausal Femal Population,96,Actual,April 2015,Actual
NCT01946217,Completed,No,NA,Observational,NA,2013-09-17,Improving Participation in AMC Clinical Trials (IMPACTS),82,Actual,September 2015,Actual
NCT01900106,Recruiting,No,NA,Interventional,Phase 3,2013-07-05,"A Prospective, Open-label Trial of Two Abacavir/Lamivudine Based Regimen (ABC/3TC + Darunavir/Ritonavir or ABC/3TC + Raltegravir) in Late Presenter naÃ¯ve Patients (With CD4 Count <200 Cells/ÂµL - Advanced HIV Disease)",350,Anticipated,December 2016,Anticipated
NCT01900015,Completed,No,NA,Interventional,Phase 4,2013-07-12,Changes in Liver Steatosis After Switching From Efavirenz to Raltegravir Among HIV/HCV-Coinfected Patients Receiving Two Nucleoside Analogs Plus Efavirenz: The Steral Study,45,Actual,"January 17, 2017",Actual
NCT01898754,Completed,No,NA,Interventional,N/A,2013-07-09,Drug-resistance Testing in Kenya to Improve ART Suppression of HIV Replication,990,Actual,December 2016,Actual
NCT01845298,Completed,No,NA,Interventional,N/A,2013-04-29,Immune Activation and Drug Absorption in HIV-Infected Patients,7,Actual,March 2016,Actual
NCT01840722,Recruiting,No,"N/A, individual participant data will not be made available.",Interventional,N/A,2013-04-19,Brief Intervention for Rural Women at High Risk for HIV/HCV,350,Anticipated,June 2018,Anticipated
NCT01828593,Completed,No,NA,Interventional,N/A,2013-04-08,"Randomized, Double-blind, Placebo-controlled, Multicenter, Clinical Study Evaluating the Impact of Serum-derived Bovine Immunoglobulin Protein Isolate, a Medical Food, on Nutritional Status in HIV+ Subjects With HIV-associated Enteropathy.",103,Actual,January 2014,Actual
NCT01813292,Completed,No,NA,Observational,NA,2013-03-12,"Comparative Study of Fluoride Metabolism, Bone Remodelling and Mineral Density in HIV + Men Being Given Tenofovir With FTC, Emtricitabine (TRUVADAÂ®), or Without (VIREADÂ®), as Part of Their Antiretroviral Therapy.",103,Actual,May 2014,Actual
NCT01791465,Terminated,No,Individual participant data is protected by HIPPA and Vanderbilt University research regulations. Summary de-identified data is available if requested,Interventional,Phase 4,2013-02-11,"Pilot Study of Extended-release Exenatide to Improve Glucose Control and Reduce Systemic Inflammation in Diabetic, HIV-infected Adults on Antiretroviral Therapy",6,Actual,December 2014,Actual
NCT01755754,Completed,No,NA,Interventional,Phase 1,2012-12-14,"A Multicenter, Open-label, Randomized, Two-period, Crossover Non-inferiority Trial to Assess the Functionality of Female Condoms With a Silicone Elastomer Vaginal Ring",160,Actual,March 2014,Actual
NCT01755741,Completed,No,NA,Interventional,Phase 1,2012-11-27,"A Multicenter, Open-Label, Randomized, Two-Period, Crossover Non-inferiority Trial to Assess the Functionality of Male Condoms With a Silicone Elastomer Vaginal Ring",70,Actual,October 2013,Actual
NCT01685372,Completed,No,There is no plan to share data at the end of the study. Data management at the close of the study will occur according to IRB and FDA regulations.,Interventional,Phase 2,2012-08-27,Immunogenicity and Efficacy of High-dose Trivalent Inactivated Seasonal Influenza Vaccine (Fluzone High Dose) in Immunocompromised Children and Young Adults.,16,Actual,September 2015,Actual
NCT01679964,Completed,No,NA,Interventional,Phase 4,2012-08-30,A Single Arm Study to Assess the Sustained Virological Suppression and Improvement of Treatment-emerged Adverse Events of Switching to Raltegravir in Stable HIV-infected Patients on Ritonavir-boosted Protease Inhibitor Regimen,107,Actual,February 2015,Actual
NCT01617096,Completed,No,NA,Interventional,Phase 3,2012-06-08,"A Multi-Center, Randomized, Double-Blind, Placebo-Controlled Phase 3 Safety and Effectiveness Trial of a Vaginal Matrix Ring Containing Dapivirine for the Prevention of HIV-1 Infection in Women",3540,Actual,June 2015,Actual
NCT01599364,"Active, not recruiting",No,NA,Interventional,Phase 4,2012-05-14,Safety and Efficacy of Switching a Stable Combined Antiretroviral Therapeutic Regimen to Atazanavir With Ritonavir Plus Lamivudine in Treatment Experienced HIV Positive Patients With Full and Stable Virological Suppression,266,Actual,April 2016,Actual
NCT01539226,Completed,No,NA,Interventional,N/A,2012-02-21,"A Multi-Centre, Randomised, Double-Blind, Placebo-Controlled Safety and Efficacy Trial of a Dapivirine Vaginal Matrix Ring in Healthy HIV-Negative Women",1950,Actual,December 2016,Actual
NCT01473472,Completed,No,NA,Interventional,Phase 3,2011-11-08,On Demand Antiretroviral Pre-exposure Prophylaxis for HIV Infection in Men Who Have Sex With Men,400,Actual,"June 30, 2016",Actual
NCT01428596,Recruiting,No,NA,Interventional,Phase 1,2011-09-01,A Phase I Dose-escalation Clinical Trial to Evaluate the Safety and Immunogenicity of a Replication-defective HIV-1 Vaccine (HIVAXâ„¢) in HIV-1 Infected Subjects Receiving Highly Active Antiretroviral Therapy,30,Anticipated,December 2017,Anticipated
NCT01417949,Completed,No,NA,Interventional,Phase 4,2011-08-10,Immediate Versus Deferred Antiretroviral Therapy in HIV-infected Patients Presenting With Acute AIDS-defining Events (IDEAL-Study),61,Actual,May 2015,Actual
NCT01381029,Completed,No,NA,Observational,NA,2011-06-23,A Study to Examine Immunological Response in HIV-Infected Patients Receiving the Seasonal Influenza Vaccine,74,Actual,August 2014,Actual
NCT01369056,Completed,No,NA,Interventional,N/A,2011-06-03,HAART Adherence Among HIV-infected Persons and the Factors Affecting Treatment Adherence,150,Actual,December 2011,Actual
NCT01349062,Completed,No,NA,Interventional,Phase 3,2011-05-03,Phase III Clinical Studies on Traditional CAM Therapy in the Treatment of HIV/AIDS,1000,Actual,"February 27, 2017",Actual
NCT01347437,Completed,No,NA,Interventional,N/A,2011-04-04,Improving Antiretroviral Medication Adherence Among HIV-infected Youth: Phase II,17,Actual,January 2013,Actual
NCT01343654,Completed,No,NA,Interventional,N/A,2011-04-26,RCT of a Text Messaging Adherence Assessment & Intervention Tool for Rural HIV+ Drug Users,54,Actual,September 2013,Actual
NCT01327651,Completed,No,NA,Interventional,Phase 2,2010-12-01,"The ADAPT Study: A Phase II, Randomized, Open-Label, Pharmacokinetic and Behavioral Study of the Use of Intermittent Oral Emtricitabine/Tenofovir Disoproxil Fumarate Pre-Exposure Prophylaxis (PrEP) Pre-Exposure Prophylaxis (PrEP)",622,Actual,December 2014,Actual
NCT01270230,Completed,No,NA,Interventional,Phase 2,2010-12-02,A Randomized Controlled Trial of the Bruthas Project,396,Actual,February 2015,Actual
NCT01253850,Completed,No,NA,Observational,NA,2010-12-02,Improving Antiretroviral Medication Adherence Among HIV-infected Youth: Phase I,31,Actual,July 2011,Actual
NCT01206933,Completed,No,NA,Observational,NA,2010-09-17,The Effect of HIV Tat Protein on HCV Replication in an In-vitro Model System.,20,Actual,June 2015,Actual
NCT01194856,Terminated,No,NA,Interventional,Phase 4,2010-09-02,A Randomized Study to Evaluate the Effect of Switching From Efavirenz to Atazanavir/ Ritonavir on Lipoatrophy and Mitochondrial Dysfunction in HIV-infected Subjects With Good Virologic Suppression,1,Actual,December 2011,Actual
NCT01187979,Completed,No,NA,Interventional,Phase 2,2010-08-12,"A Proof of Concept Cluster Randomised Controlled Trial to Evaluate the Impact of a Cash Incentivised Prevention Intervention to Reduce HIV Infection in High School Learners in Rural KwaZulu-Natal, South Africa",3217,Actual,August 2014,Actual
NCT01084954,Completed,No,NA,Observational,NA,2010-03-09,Validation of a Simple and Cost-Effective Nucleic Acid Test for HIV Detection,153,Actual,April 2016,Actual
NCT01077310,Completed,No,NA,Interventional,N/A,2010-02-19,Alcohol Pharmacotherapy for HIV+ Prisoners With Alcohol Dependence and Problem Drinking,100,Actual,August 2015,Actual
NCT01069809,Completed,No,NA,Interventional,Phase 2,2010-02-16,"A Randomized, Double-Blind, Phase 2B Study Testing the Efficacy and Safety of AGS-004 on Host Control of HIV Replication During Analytical Treatment Interruption",53,Actual,August 2014,Actual
NCT01053741,Completed,No,This is an exploratory physiologic study.,Interventional,N/A,2010-01-20,The Effect of Seminal Fluid on Distal Colon Mucosal Permeability and Susceptibility to HIV Infection,11,Actual,December 2009,Actual
NCT01050465,Completed,No,NA,Interventional,N/A,2010-01-13,MedlinePlus Health Prescriptions: Developing a Real World Approach for Clinic Use,907,Actual,October 2010,Actual
NCT01043081,Completed,No,Data will only be shared with investigators,Observational,NA,2010-01-04,Prevalence Rates of Sexually Transmitted Infections and Sexual Risk Behaviors Among African American Women Who Have Sex With Women,300,Actual,December 2011,Actual
NCT01018095,Completed,No,NA,Interventional,Phase 4,2009-11-20,Randomized Phase IV Trial of Metronidazole Single Dose Versus 7 Day Dose for Treatment of Trichomonas Vaginalis Among HIV-infected Women,270,Actual,July 2009,Actual
NCT00995176,Completed,No,Data was collated into manuscripts by the statistical and data management center for the HPTN.,Observational,NA,2009-10-14,The Women's HIV SeroIncidence Study (ISIS),2099,Actual,March 2011,Actual
NCT00955968,Completed,No,NA,Interventional,Phase 4,2009-08-07,IMPAACT 1077HS: HAART Standard Version of the Promoting Maternal and Infant Survival Everywhere (PROMISE) Study,1653,Actual,August 2016,Actual
NCT00941889,Completed,No,No outcomes data were collected or analyzed due to lack of participant follow-up.,Interventional,N/A,2009-07-16,The Effect of Human Papillomavirus Vaccination on Recurrence Rates in HIV Positive Patients Treated for Anal Condylomata,32,Actual,July 2011,Actual
NCT00926146,Completed,No,NA,Interventional,N/A,2009-06-22,HBV Prevention for Homeless at Risk for HBV/HCV/HIV,451,Actual,January 2014,Actual
NCT00924898,Completed,No,NA,Interventional,Phase 4,2009-06-17,"CID 0805 - Treatment of Acute HIV Infection With a Once Daily Regimen of Emtricitabine, Tenofovir and Efavirenz - A Pilot Study of Response to Therapy and HIV Pathogenesis",92,Actual,November 2013,Actual
NCT00921557,Completed,No,NA,Interventional,Phase 2,2009-06-12,Impact of Oral Alendronate Therapy on Bone Mineral Density in HIV-infected Children and Adolescents With Low Bone Mineral Density,52,Actual,January 2016,Actual
NCT00905151,Completed,No,"N/A, this study was not funded by the NIH",Observational,NA,2009-05-15,Evaluation of the Performance of GFR Estimating Equations in HIV Positive Patients,206,Actual,June 2010,Actual
NCT00856323,Completed,No,NA,Interventional,Phase 2,2009-03-03,Biobehavioral Interventions for HIV-negative Methamphetamine-using MSM,53,Actual,December 2010,Actual
NCT00842634,Completed,No,NA,Interventional,Phase 1,2009-02-04,A Phase I Study of Autologous T-Cells Genetically Modified at the CCR5 Gene by Zinc Finger Nucleases SB-728 in HIV-Infected Patients,12,Actual,January 2013,Actual
NCT00803543,Completed,No,NA,Interventional,N/A,2008-12-03,Seroprevalence of HSV-2 in HIV Infected Subjects and the Effect of Daiy Valacyclovir in the Reduction of HSV-2 Recurrences and Viral Shedding,103,Actual,April 2014,Actual
NCT00799058,Completed,No,NA,Interventional,Phase 3,2008-11-26,"A Multi-Center, Randomized, Double-Blind, Placebo Controlled Phase 3 Safety and Effectiveness Trial of a Vaginal Matrix Ring With Dapivirine for the Prevention of HIV-1 Infection in Women",180,Actual,June 2015,Actual
NCT00696618,Completed,No,NA,Interventional,N/A,2008-06-04,"A Randomized, Blinded, Comparative Study of the Mucosal Toxicity, Colorectal Distribution, and Participant Acceptability of Three Different Preparatory Enemas (Hypo-, Iso-, and Hyper-osmolar)",9,Actual,July 2009,Actual
NCT00661258,Completed,No,NA,Interventional,N/A,2008-04-11,Antiretroviral Treatment Adherence for Life Pilot Study: Phases II and III,80,Actual,November 2007,Actual
NCT00637572,Completed,No,NA,Interventional,Phase 2,2008-03-11,"A Randomized, Open-labeled, Pilot Study Comparing Weight Gain in Adults With AIDS-related Wasting Given Either Megestrol Acetate Oral Suspension Nanocrystal Dispersion (MA-NCD) or Megestrol Acetate Oral Suspension (Megace)",63,Actual,June 2005,Actual
NCT00634608,Completed,No,NA,Interventional,N/A,2008-02-22,Integrating Targeted MedlinePlus Health Prescriptions Into Clinic Practice Workflow,224,Actual,March 2009,Actual
NCT00632970,Terminated,No,Findings not relevant,Interventional,Phase 4,2008-02-29,"A Multi-Center Comparison of Raltegravir to Lopinavir/Ritonavir, Both in Combination With Truvada, in HIV-Infected Individuals Naive to Antiretroviral Therapy",6,Actual,February 2010,Actual
NCT00618371,Completed,No,Data were analyzed and there is no plan to make individual participant data available,Interventional,N/A,2007-09-29,Investigating the Source of HIV-1 Viremia in Patients on Antiretroviral Therapy Through Intensification With MK-0518,10,Actual,March 2009,Actual
NCT00549523,Completed,No,NA,Interventional,Phase 1/Phase 2,2007-10-24,"A Randomized, Double-blind, Placebo-Controlled Study of the Safety and Efficacy of Lessertia Frutescens (L.)Goldblatt and J.C. Manning (Syn. Sutherlandia Frutescens (L.)R. Br.)in HIV-infected South African Adults",133,Actual,January 2012,Actual
NCT00503347,Completed,NA,NA,Interventional,Phase 1,2007-07-16,"A Phase Ib Open-Label, Escalating Repeat-Dose Trial of Bavituximab (Chimeric Anti-Phosphatidylserine Monoclonal Antibody) in Patients Co-Infected With Chronic Hepatitis C Virus and Human Immunodeficiency Virus",24,Anticipated,March 2011,Actual
NCT00503308,Completed,NA,NA,Interventional,N/A,2007-07-16,"Patient Perspectives and Testing Uptake With Abbreviated Versus Standard HIV Consenting in the Prenatal Setting: A Randomized-Controlled, Non-Inferiority Trial",281,Actual,September 2007,Actual
NCT00503230,Completed,NA,NA,Interventional,Phase 3,2007-07-17,Reducing Ethnic Health Disparities: Motivating HIV+ Latinos to Quit Smoking,400,Actual,July 2011,Actual
NCT00502944,Completed,NA,NA,Interventional,N/A,2007-07-16,Optimizing Strategies for Universal HIV Testing (The USHER Trial),4855,Actual,July 2008,Actual
NCT00502827,Completed,NA,NA,Interventional,N/A,2007-07-16,An Innovative Telephone Intervention for HIV-Positive Smokers,706,Actual,April 2015,Actual
NCT00500487,Completed,NA,NA,Interventional,Phase 1,2007-07-11,Therapeutic Schools: Affect Management and HIV Prevention,420,Anticipated,June 2010,Actual
NCT00499876,Completed,NA,NA,Interventional,N/A,2007-07-11,"The Effect of Malaria on Disease Progression of HIV/AIDS in Kumasi, Ghana",197,Actual,October 2008,Actual
