COMPONENT,SYSTEM,SCALE,n2,codes,methods
Diameter.biparietal.mean,Head^fetus,Qn,2,"11821-6,11822-4",Estimated from gestational age|US.estimated from cerebellar diameter
Diameter.biparietal/Diameter.occipital,Head^fetus,Qn,3,"11823-2,33157-9,33158-7",US.derived|US.estimated from Chitty 1994|US.estimated from Hadlock 1981
Diameter.end diastole,Mitral valve.annulus,Qn,3,"80050-8,80051-6,80052-4",US.2D.A2C|US.2D.A4C|US.2D.PLAX
Diameter.long.mean,Liver^Fetus,Qn,2,"11844-8,11845-5",Estimated from abdominal circumference|Estimated from gestational age
Diameter.transverse,Cerebellum^Fetus,Qn,2,"11863-8,33181-9",US.measured|US.estimated from Goldstein 1987
Diamorphine,Ser/Plas,Qn,2,"16756-9,18387-1",Confirm|NA
Diamorphine,Urine,Ord,3,"16198-4,19439-9,3546-9",Confirm|Screen|NA
Diamorphine,Urine,Qn,2,"16755-1,3547-7",Confirm|NA
Diamorphine cutoff,Urine,Qn,2,"19441-5,19442-3",Screen|Confirm
Diarrhea,Gastrointestinal system,Ord,2,"28089-1,28379-6",Observed.CCC|Reported.HIV-SSC
diazePAM,Bld,Qn,2,"59654-4,59655-1",NA|Confirm
diazePAM,Body fld,Qn,2,"59656-9,59657-7",NA|Confirm
diazePAM,Meconium,Qn,2,"26935-7,59658-5",NA|Confirm
diazePAM,Ser/Plas,Qn,4,"14697-7,26784-9,3548-5,35607-1",NA|Confirm|NA|Screen
diazePAM,Stool,Qn,2,"27275-7,59659-3",NA|Confirm
diazePAM,Tiss,Qn,2,"59660-1,59661-9",NA|Confirm
diazePAM,Urine,Ord,3,"18388-9,19443-1,3550-1",Confirm|Screen|NA
diazePAM,Urine,Qn,2,"16227-1,3551-9",Confirm|NA
diazePAM,XXX,Qn,2,"48948-4,77323-4",NA|NA
diazePAM cutoff,Urine,Qn,2,"19444-9,19445-6",Screen|Confirm
Diazepam+Nordiazepam,Ser/Plas,Qn,2,"16757-7,50849-9",NA|NA
Dibekacin,Isolate,OrdQn,4,"55669-6,55670-4,55671-2,55672-0",MIC|NA|Agar diffusion|Gradient strip
Dibucaine number,Ser,Qn,2,"22754-6,3554-3",NA|NA
Dicarboxyoleylcarnitine (C18:1-DC),Ser/Plas,Qn,2,"18466-3,59207-1",NA|NA
Dichlorphenamide,Urine,Qn,2,"3556-8,3557-6",NA|NA
Dicloxacillin,Isolate,OrdQn,5,"18916-7,221-2,222-0,32380-8,55668-8",NA|MIC|Agar diffusion|NA|Gradient strip
Didanosine,Isolate,OrdQn,2,"30270-3,30300-8",Phenotyping|NA
Didanosine,Ser/Plas,Qn,2,"29116-1,48307-3",NA|NA
Didesmethylcitalopram,Ser/Plas,Qn,2,"26042-2,74095-1",NA|NA
Diethylpropion,Ser/Plas,Qn,3,"16366-7,21244-9,55532-6",NA|NA|NA
Diethylpropion,Urine,Ord,2,"16210-7,3345-6",Confirm|NA
Diethylpropion,Urine,Qn,2,"3346-4,3347-2",NA|NA
Diffusion capacity.carbon monoxide,Respiratory system,Qn,2,"19910-9,19911-7",Predicted|NA
Diffusion capacity.carbon monoxide^^adjusted for hemoglobin,Respiratory system,Qn,2,"19912-5,19913-3",Helium single breath|NA
Diffusion capacity/Alveolar volume,Respiratory system,Qn,3,"19914-1,19915-8,19916-6",Single breath.carbon monoxide+Helium|Predicted|NA
Diffusion capacity^^adjusted to body conditions,Respiratory system,Qn,2,"19917-4,19918-2",Single breath.carbon monoxide+Helium|NA
Difloxacin,Isolate,OrdQn,3,"35790-5,35791-3,35792-1",Agar diffusion|MIC|NA
Digitoxin,Ser/Plas,Qn,2,"15104-3,3559-2",NA|NA
Digoxin,Ser/Plas,Qn,5,"10535-3,14698-5,35244-3,83093-5,83094-3",NA|NA|NA|IA|IA
Digoxin.free,Ser/Plas,Qn,2,"32067-1,3562-6",NA|NA
Dihydrocodeine,Urine,Ord,3,"14066-5,16211-5,19446-4",NA|Confirm|Screen
Dihydrocodeine,Urine,Qn,2,"19448-0,19449-8",Confirm|NA
Dihydrocodeine cutoff,Urine,Qn,2,"19450-6,19451-4",Screen|Confirm
Dihydrocodeine.free+Hydrocodol.free,Ser/Plas,Qn,2,"46704-3,49750-3",Screen|NA
dilTIAZem,Ser/Plas,Qn,2,"55533-4,6898-1",NA|NA
Dimenhydrinate,Ser/Plas,Qn,2,"12391-9,39475-9",NA|NA
Dimetamphetamine,Urine,Ord,3,"19452-2,19453-0,3564-2",Screen|Confirm|NA
Dimetamphetamine,Urine,Qn,3,"20526-0,3565-9,3566-7",Confirm|NA|NA
Dimetamphetamine cutoff,Urine,Qn,2,"19454-8,19455-5",Screen|Confirm
Dimethylbenzene,Bld,Ord,2,"29296-1,5758-8",NA|NA
Diphenhydramine,Ser/Plas,Qn,3,"35608-9,3570-9,39476-7",Screen|NA|NA
Diphenhydramine,Urine,Ord,2,"3571-7,92647-7",NA|Confirm
Diphenhydramine,Urine,Qn,2,"3572-5,92641-0",NA|Confirm
Dipipanone,Urine,Qn,2,"3574-1,3575-8",NA|NA
Direct antiglobulin test.complement specific reagent,RBC,Ord,2,"1004-1,53744-9",NA|5M RT incubation
Direct antiglobulin test.poly specific reagent,RBC,Ord,2,"1007-4,1009-0",NA|NA
Dirithromycin,Isolate,OrdQn,4,"35793-9,35794-7,35795-4,7007-8",Agar diffusion|MIC|NA|Gradient strip
Dirofilaria immitis Ab,Ser,Qn,2,"30040-0,30044-2",NA|NA
Dirofilaria immitis Ag,Ser,Ord,2,"23710-7,31801-4",IA|NA
Discharge date,^Patient,Qn,2,"52525-3,76429-0",NA|NA
Discharge disposition,^Patient,Nom,6,"46579-9,52688-9,55128-3,57278-4,75528-0,77306-9",OASIS|CARE|NA|CMS Assessment|MSCDM|NA
Discharge instructions,{Setting},Doc,25,"74213-0,77408-3,77416-6,78261-5,78262-3,78410-8,78411-6,78412-4,78413-2,78414-0,78415-7,78416-5,78417-3,78578-2,78579-0,78580-8,78581-6,78582-4,78583-2,78584-0,78720-0,80810-5,83802-9,89217-4,89228-1",{Role}|Cardiovascular disease|Critical care medicine|Mental health|General medicine|Neonatal perinatal medicine|Nephrology|Neurology|Nurse|Nurse practitioner|Nutrition and dietetics|Occupational therapy|Oncology|Pediatrics|Palliative care|Respiratory therapy|Recreational therapy|Physical therapy|Pharmacology|Speech-language pathology|Obstetrics and Gynecology|Geriatric medicine|Physician|Gynecology|Obstetrics
Discharge summary note,{Setting},Doc,74,"11490-0,18842-5,28655-9,29761-4,34745-0,59259-2,68558-6,68572-7,68578-4,68591-7,68612-1,68626-1,68642-8,68653-5,68663-4,68674-1,68688-1,68697-2,68709-5,68719-4,68733-5,68738-4,68749-1,68768-1,68773-1,68779-8,68795-4,68805-1,68815-0,68831-7,68841-6,68856-4,77409-1,77417-4,78263-1,78264-9,78418-1,78419-9,78420-7,78421-5,78585-7,80811-3,83551-2,83712-0,83810-2,83898-7,83921-7,83932-4,83956-3,83993-6,84017-3,84024-9,84040-5,84139-5,84179-1,84278-1,84310-2,84331-8,84367-2,84393-8,85154-3,85223-6,85243-4,85433-1,85434-9,85440-6,85442-2,85514-8,85520-5,85878-7,87235-8,87256-4,89214-1,89218-2",Physician|{Role}|Attending|Dentistry|Nurse|Psychiatry|Obstetrics and Gynecology|Ophthalmology|Orthopaedic surgery|Plastic surgery|Adolescent medicine|Allergy+Immunology|Child and adolescent psychiatry|Clinical genetics|Developmental-behavioral pediatrics|Multi-specialty program|Neurological surgery|Neurology w special qualifications in child neuro|Pain medicine|Pediatric cardiology|Pediatric endocrinology|Pediatric gastroenterology|Pediatric hematology-oncology|Pediatric nephrology|Pediatric otolaryngology|Pediatric pulmonology|Pediatric surgery|Pediatric urology|Pediatrics|Primary care|Speech-language pathology|Pediatric transplant hepatology|Cardiovascular disease|Critical care medicine|Mental health|General medicine|Neonatal perinatal medicine|Nephrology|Neurology|Oncology|Palliative care|Geriatric medicine|Nurse practitioner|Physical medicine and rehab|Physician assistant|Psychology|Recreational therapy|Research|Social worker|Spinal cord injury medicine|Surgery|Team|Urology|Hematology+Medical oncology|Kinesiotherapy|Nutrition and dietetics|Vocational rehabilitation|Physical therapy|Otolaryngology|Occupational therapy|Pharmacology|Case manager|Internal medicine|Respiratory therapy|Rheumatology|Vascular surgery|Hematology|Bariatric surgery|Child and adolescent psychology|Neuropsychology|Dialysis|Addiction medicine|Obstetrics|Gynecology
Discharge summary note,Emergency department,Doc,2,"59258-4,84248-4",{Role}|Nurse
Discharge summary note,Hospital,Doc,5,"34105-7,34106-5,68823-4,84254-2,84328-4",{Role}|Physician|Pediatrics|Nurse|Physical therapy
Discharge summary note,Intensive care unit,Doc,3,"83523-1,84013-2,85240-0",Cardiovascular disease|Surgery|Internal medicine
Discharge summary note,Long term care facility,Doc,3,"83968-8,84257-5,85192-3",Social worker|Nurse|{Role}
Discharge summary note,Observation unit,Doc,2,"84262-5,85200-4",Nurse|{Role}
Discharge summary note,Outpatient,Doc,2,"84018-1,84321-9",Surgery|Physical therapy
Discharge summary note,Patient's home,Doc,3,"83961-3,84132-0,88693-7",Social worker|Primary care|{Role}
Discharge summary note,Recovery room,Doc,2,"85849-8,85875-3",Anesthesiology|Nurse
Discharge teaching note,{Setting},Doc,23,"77418-2,78039-5,78266-4,78267-2,78383-7,78422-3,78423-1,78424-9,78425-6,78426-4,78427-2,78428-0,78586-5,78587-3,78588-1,78589-9,78590-7,78591-5,78592-3,78721-8,80812-1,89219-0,89229-9",Critical care medicine|{Role}|Mental health|General medicine|Occupational therapy|Neonatal perinatal medicine|Nephrology|Neurology|Nurse|Nurse practitioner|Nutrition and dietetics|Oncology|Respiratory therapy|Palliative care|Recreational therapy|Pharmacology|Pediatrics|Physical therapy|Speech-language pathology|Obstetrics and Gynecology|Geriatric medicine|Gynecology|Obstetrics
Disease staging note,{Setting},Doc,2,"86215-1,86534-5",Hematology+Medical oncology|{Role}
Disopyramide,Gast fld,Qn,2,"29401-7,59898-7",NA|NA
Disopyramide,Ser/Plas,Qn,2,"14702-5,3576-6",NA|NA
Disopyramide,Urine,Qn,2,"16780-9,59897-9",NA|NA
Distance of tumor from circumferential resection margin,Specimen,Qn,2,"81176-0,81184-4",Macroscopy|Microscopy.light
Distance of tumor from closest margin,Specimen,Qn,2,"33737-8,81175-2",NA|Macroscopy
DNA double strand Ab,Body fld,Qn,2,"15177-9,48308-1",NA|Farr
DNA double strand Ab,CSF,Ord,2,"63408-9,63409-7",IA|IF
DNA double strand Ab,CSF,Qn,2,"63220-8,63410-5",IF|IA
DNA double strand Ab,Plr fld,Qn,2,"63222-4,63223-2",IA|IF
DNA double strand Ab,Ser,Ord,5,"12277-0,31348-6,5131-8,6457-6,81716-3",Farr|NA|IF|Crithidia luciliae IF|Line blot
DNA double strand Ab,Ser,Qn,10,"11013-0,11563-4,16782-5,32677-7,34187-5,37993-3,42200-6,47299-3,5130-0,54910-5",NA|NA|Farr|IA|Crithidia luciliae IF|RIA|RIA|Farr|NA|IF
DNA double strand Ab.IgG,Body fld,Ord,2,"63224-0,63225-7",IA|IF
DNA double strand Ab.IgG,Body fld,Qn,4,"63226-5,63227-3,63385-9,63534-2",IA|IF|Flow cytometry|NA
DNA double strand Ab.IgG,CSF,Qn,3,"63229-9,63230-7,63535-9",IA|IF|NA
DNA double strand Ab.IgG,Plr fld,Qn,2,"63231-5,63386-7",IA|Flow cytometry
DNA double strand Ab.IgG,Ser,Ord,2,"58465-6,63379-2",IA|NA
DNA double strand Ab.IgG,Ser,Qn,3,"33800-4,58466-4,63381-8",NA|Crithidia luciliae IF|NA
DNA single strand Ab,Ser,Qn,2,"5132-6,66484-7",NA|IA
DNA single strand Ab.IgG,Ser,Qn,2,"10360-6,42201-4",NA|IA
DNAse B Ab.Streptococcal,Ser,Qn,2,"14207-5,5133-4",NA|NA
Docosahexaenoate intake,^Patient,Qn,2,"81037-4,81038-2",Estimated|Measured
Dodecanedioate/Creatinine,Urine,Qn,2,"13732-3,25097-7",NA|NA
Dodecanoylcarnitine (C12),Ser/Plas,Qn,2,"18455-6,30331-3",NA|NA
Dodecenoylcarnitine (C12:1),Ser/Plas,Qn,2,"18454-9,30332-1",NA|NA
Does your health now limit you in bathing or dressing yourself,^Patient,Ord,2,"61592-2,71923-7",PROMIS|VR
Does your health now limit you in climbing one flight of stairs,^Patient,Ord,3,"61698-7,71928-6,78065-0",PROMIS|VR|PROMIS
Does your health now limit you in climbing several flights of stairs,^Patient,Ord,3,"61687-0,71929-4,78059-3",PROMIS|VR|PROMIS
Does your health now limit you in doing 2H of physical labor,^Patient,Ord,2,"61688-8,78060-1",PROMIS|PROMIS
Does your health now limit you in doing 8H of physical labor,^Patient,Ord,2,"61696-1,78063-5",PROMIS|PROMIS
Does your health now limit you in getting in and out of the bathtub,^Patient,Ord,2,"61711-8,78067-6",PROMIS|PROMIS
Does your health now limit you in lifting or carrying groceries,^Patient,Ord,2,"61591-4,71930-2",PROMIS|VR
Does your health now limit you in walking about the house,^Patient,Ord,2,"61712-6,78068-4",PROMIS|PROMIS
Does your health now limit you in walking more than a mile,^Patient,Ord,2,"61697-9,71926-0",PROMIS|VR
Dog dander Ab.IgG,Ser,Qn,2,"63077-2,7284-3",NA|NA
Dolichovespula arenaria Ab.IgG,Ser,Qn,2,"49740-4,6739-7",NA|NA
Dolichovespula maculata Ab.IgG,Ser,Qn,2,"49745-3,7417-9",NA|NA
Dopamine,Ser/Plas,Qn,2,"14703-3,2216-0",NA|NA
Dopamine,Urine,Qn,7,"15058-1,15059-9,2217-8,2218-6,25906-9,27212-0,72816-2",NA|NA|NA|NA|NA|NA|Confirm
Dopamine/Creatinine,Urine,Qn,5,"13733-1,24524-1,33873-1,44316-8,44918-1",NA|NA|NA|NA|NA
Doripenem,Isolate,OrdQn,4,"56031-8,58711-3,60535-2,72893-1",MIC|Gradient strip|NA|Agar diffusion
Dothiepin,Ser/Plas,Qn,2,"29652-5,29653-3",NA|NA
Doxepin,Gast fld,Qn,2,"29410-8,47104-5",NA|NA
Doxepin,Ser/Plas,Qn,3,"14705-8,35609-7,3579-0",NA|Screen|NA
Doxepin,Urine,Ord,2,"3580-8,61415-6",NA|Confirm
Doxepin,Urine,Qn,3,"14706-6,3581-6,61416-4",NA|NA|Confirm
Doxepin+Nordoxepin,Ser/Plas,Qn,3,"10537-9,14707-4,3582-4",NA|NA|NA
Doxycycline,Isolate,OrdQn,6,"18917-5,20379-4,225-3,226-1,23623-2,7008-6",NA|Method for Slow-growing mycobacteria|MIC|Agar diffusion|Slow-growing Mycobacteria|Gradient strip
Doxycycline,XXX,Qn,2,"21250-6,26902-7",NA|NA
Doxylamine,Ser/Plas,Qn,2,"16791-6,55534-2",NA|NA
Drugs identified,Meconium,Nom,2,"32797-3,64126-6",Screen|Confirm
Drugs identified,Urine,Nom,3,"12286-1,40464-0,41270-0",Screen|Confirm|NA
Drugs identified,XXX,Nom,2,"20787-8,40585-2",Screen|Confirm
Drugs of abuse 5 panel,Urine,-,2,"24349-3,65750-2",NA|Screen
Dry body weight,^Patient,Qn,2,"8340-2,8341-0",Estimated|Measured
Duck enteritis virus Ab,Ser,Ord,3,"20788-6,22254-7,43328-4",Neut|NA|IF
Duck enteritis virus Ag,XXX,Ord,3,"23031-8,23032-6,31802-2",Neut|Aggl|NA
Duck feather Ab.IgG,Ser,Qn,2,"7289-2,81785-8",NA|NA
Duck hepatitis virus 1 Ab,Ser,Ord,2,"23033-4,23034-2",Neut|NA
Duck hepatitis virus 1 Ag,XXX,Ord,2,"23035-9,31803-0",Neut|NA
Duck hepatitis virus 2 Ab,Ser,Ord,2,"23036-7,23037-5",NA|Neut
Duck hepatitis virus 2 Ag,XXX,Ord,2,"23038-3,31804-8",Neut|NA
Duck hepatitis virus 3 Ab,Ser,Ord,2,"23039-1,23040-9",NA|Neut
Duck hepatitis virus 3 Ag,XXX,Ord,2,"23041-7,31805-5",IF|NA
DULoxetine,Urine,Ord,2,"75229-5,78823-2",NA|Confirm
Eastern equine encephalitis virus Ab,CSF,Ord,3,"20792-8,20794-4,22255-4",IF|Comp fix|NA
Eastern equine encephalitis virus Ab,Ser,Ord,6,"20790-2,20791-0,20793-6,22256-2,23043-3,23044-1",HAI|IF|Comp fix|NA|Aggl|Neut
Eastern equine encephalitis virus Ab,Ser,Qn,7,"13918-8,20795-1,22257-0,22262-0,23042-5,43329-2,5134-2",IF|Neut|NA|NA|HAI|Comp fix|NA
Eastern equine encephalitis virus Ab.IgG,CSF,Ord,2,"29798-6,29836-4",IF|NA
Eastern equine encephalitis virus Ab.IgG,CSF,Qn,3,"10897-7,13228-2,22258-8",IF|NA|NA
Eastern equine encephalitis virus Ab.IgG,Ser,Ord,3,"29811-7,29848-9,52822-4",IF|NA|IA
Eastern equine encephalitis virus Ab.IgG,Ser,Qn,3,"10896-9,22259-6,7860-0",IF|NA|NA
Eastern equine encephalitis virus Ab.IgG,XXX,Ord,2,"29785-3,29824-0",IF|NA
Eastern equine encephalitis virus Ab.IgM,Body fld,Ord,2,"62429-6,62430-4",IF|IA
Eastern equine encephalitis virus Ab.IgM,CSF,Ord,2,"42004-2,43044-7",IA|NA
Eastern equine encephalitis virus Ab.IgM,CSF,Qn,3,"10899-3,13229-0,22260-4",IF|NA|NA
Eastern equine encephalitis virus Ab.IgM,Ser,Ord,2,"23045-8,23046-6",IA|NA
Eastern equine encephalitis virus Ab.IgM,Ser,Qn,4,"10898-5,22261-2,43330-0,7861-8",IF|NA|IA|NA
Eastern equine encephalitis virus Ab^1st specimen,Ser,Qn,2,"24213-1,24287-5",IF|NA
Eastern equine encephalitis virus Ab^2nd specimen,Ser,Qn,2,"24214-9,24288-3",IF|NA
Eastern equine encephalitis virus Ag,Brain,Ord,2,"23047-4,31806-3",Comp fix|NA
Eastern equine encephalitis virus Ag,Ser,Ord,3,"31807-1,6388-3,6389-1",NA|IA|IF
Eastern equine encephalitis virus Ag,XXX,Ord,4,"23048-2,23049-0,23050-8,31808-9",IF|Comp fix|Neut|NA
Eastern equine encephalitis virus RNA,CSF,Ord,2,"26825-0,34450-7",Probe|Probe.amp.tar
Eastern equine encephalitis virus RNA,Tiss,Ord,2,"23051-6,23052-4",Probe.amp.tar|Probe
Eastern equine encephalitis virus RNA,XXX,Ord,2,"37983-4,50547-9",Probe|Probe.amp.tar
Ebola virus Ab,Ser,Qn,3,"11581-6,22263-8,7862-6",NA|NA|IF
Ebola virus Ag,XXX,Ord,2,"41637-0,71768-6",IF|IA
Ecgonine methyl ester,Ser/Plas,Qn,2,"30107-7,80195-1",NA|Confirm
Echinococcus granulosus Ab,Ser,Ord,2,"26673-4,35416-7",NA|IB
Echinococcus granulosus Ab,Ser,Qn,5,"43602-2,46184-8,48359-4,49181-1,88921-2",IA|NA|HA|NA|Comp fix
Echinococcus granulosus Ab.IgG,Ser,Ord,2,"21252-2,22264-6",IB|NA
Echinococcus granulosus Ab.IgG,Ser,Qn,2,"47308-2,47431-2",IA|NA
Echinococcus sp Ab,Ser,Ord,5,"25339-3,25397-1,26007-5,40749-4,41416-9",NA|IA|HA|Comp fix|IB
Echinococcus sp Ab,Ser,Qn,7,"25398-9,25867-3,26008-3,5135-9,6390-9,6391-7,7863-4",CIE|NA|HA|HA|Comp fix|IA|NA
Echinococcus sp Ab.IgE,Ser,Qn,2,"6103-6,6104-4",NA|NA
Echinococcus sp Ab.IgG,Ser,Qn,3,"14082-2,22265-3,9656-0",IB|NA|IA
Echinococcus sp Ab.IgG1,Ser,Qn,2,"52982-6,53369-5",IA|NA
Echinococcus sp Ab.IgG4,Ser,Qn,2,"52983-4,53370-3",IA|NA
Echinococcus sp Ab.IgM,Ser,Qn,2,"16794-0,9657-8",NA|IA
Echinococcus sp Ag,Stool,Ord,2,"23053-2,31809-7",IA|NA
Echovirus 1 Ab,Ser,Qn,5,"16797-3,22266-1,5136-7,5137-5,7864-2",Comp fix|NA|Neut|Comp fix|NA
Echovirus 11 Ab,Body fld,Qn,2,"31061-5,43043-9",Comp fix|NA
Echovirus 11 Ab,CSF,Qn,2,"22267-9,9516-6",NA|Comp fix
Echovirus 11 Ab,Ser,Ord,2,"30333-9,31350-2",Comp fix|NA
Echovirus 11 Ab,Ser,Qn,4,"22268-7,41489-6,6708-2,7865-9",NA|Neut|Comp fix|NA
Echovirus 14 Ab,Ser,Qn,4,"16798-1,20665-6,22269-5,24008-5",NA|Neut|NA|Comp fix
Echovirus 140 Ab,Ser,Qn,2,"16799-9,22270-3",Comp fix|NA
Echovirus 16 Ab,Ser,Qn,4,"11594-9,22271-1,41490-4,6813-0",NA|NA|Neut|Comp fix
Echovirus 18 Ab,Ser,Qn,3,"11595-6,22272-9,9517-4",NA|NA|Comp fix
Echovirus 19 Ab,Ser,Qn,5,"16800-5,22273-7,5138-3,5139-1,7866-7",Comp fix|NA|Neut|Comp fix|NA
Echovirus 3 Ab,Ser,Qn,5,"16801-3,22274-5,5140-9,5141-7,7867-5",Comp fix|NA|Neut|Comp fix|NA
Echovirus 30 Ab,Body fld,Qn,3,"31062-3,31352-8,43040-5",Comp fix|NA|NA
Echovirus 30 Ab,CSF,Qn,3,"22275-2,31351-0,9518-2",NA|NA|Comp fix
Echovirus 30 Ab,Ser,Ord,2,"30334-7,31353-6",Comp fix|NA
Echovirus 30 Ab,Ser,Qn,5,"16802-1,41491-2,6392-5,6393-3,7868-3",NA|Neut|Comp fix|Neut|NA
Echovirus 4 Ab,Body fld,Qn,3,"31059-9,31355-1,43042-1",Comp fix|NA|NA
Echovirus 4 Ab,CSF,Qn,3,"22276-0,31354-4,9519-0",NA|NA|Comp fix
Echovirus 4 Ab,Ser,Ord,2,"30335-4,31356-9",Comp fix|NA
Echovirus 4 Ab,Ser,Qn,5,"16803-9,22277-8,5142-5,5143-3,7869-1",Comp fix|NA|Neut|Comp fix|NA
Echovirus 40 Ab,Ser,Qn,4,"16804-7,6394-1,6395-8,7870-9",NA|Comp fix|Neut|NA
Echovirus 6 Ab,Ser,Qn,5,"16805-4,22278-6,5144-1,5145-8,7871-7",Comp fix|NA|Neut|Comp fix|NA
Echovirus 7 Ab,CSF,Qn,3,"18333-5,23969-9,23993-9",NA|NA|Comp fix
Echovirus 7 Ab,Ser,Ord,2,"30336-2,31357-7",Comp fix|NA
Echovirus 7 Ab,Ser,Qn,4,"11601-2,22279-4,41492-0,6922-9",NA|NA|Neut|Comp fix
Echovirus 9 Ab,Body fld,Qn,3,"31060-7,31359-3,43041-3",Comp fix|NA|NA
Echovirus 9 Ab,CSF,Qn,3,"22280-2,31358-5,9520-8",NA|NA|Comp fix
Echovirus 9 Ab,Ser,Ord,2,"30337-0,31360-1",Comp fix|NA
Echovirus 9 Ab,Ser,Qn,5,"16807-0,22281-0,5146-6,5147-4,7872-5",Comp fix|NA|Neut|Comp fix|NA
Echovirus Ab,Ser,Qn,3,"16795-7,16796-5,53582-3",NA|Comp fix|IA
Echovirus Ab.IgG,CSF,Qn,2,"56622-4,59397-0",IF|NA
Echovirus Ab.IgG,Ser,Qn,3,"51840-7,53371-1,59401-0",IF|NA|IA
Echovirus Ab.IgM,CSF,Qn,2,"56623-2,59396-2",IF|IA
Echovirus Ab.IgM,Ser,Qn,3,"51841-5,53372-9,53583-1",IF|NA|IA
Echovirus NOS Ab,Ser,Qn,4,"22282-8,5148-2,5149-0,7873-3",NA|Neut|Comp fix|NA
Echovirus+Coxsackievirus Ab.IgA,Ser,Ord,2,"29645-9,29666-5",IA|NA
Econazole,Isolate,OrdQn,4,"25595-0,25637-0,54178-9,55673-8",NA|MIC|Agar diffusion|Gradient strip
ED diagnosis,^Patient,Nom,2,"11300-1,11301-9",NA|NA
ED discharge disposition,^Patient,Nom,3,"11302-7,74285-8,78024-7",NA|NTDS|NHCS
Edema,^Patient,Ord,2,"44966-0,45700-2",NA|MDS
Edit overrides &or Conversion history &or System admin section,^Patient,Set,2,"46440-4,60500-6",NAACCR v.11|NAACCR v.12
Education note,{Setting},Doc,83,"34895-3,34897-9,67854-0,75433-3,75446-5,75481-2,75486-1,77404-2,77411-7,77419-0,77423-2,77430-7,78268-0,78269-8,78270-6,78271-4,78272-2,78274-8,78275-5,78276-3,78277-1,78278-9,78279-7,78280-5,78281-3,78429-8,78430-6,78431-4,78432-2,78450-4,78451-2,78452-0,78453-8,78499-1,78593-1,78594-9,78595-6,78596-4,78597-2,78598-0,78599-8,78600-4,78601-2,78602-0,78603-8,78604-6,78605-3,78606-1,78607-9,78608-7,78609-5,78610-3,78611-1,78612-9,78613-7,78614-5,78615-2,78722-6,80576-2,80793-3,80802-2,82361-7,83593-4,83714-6,83883-9,83900-1,83923-3,83994-4,84140-3,84154-4,84180-9,84347-4,84372-2,85244-2,85257-4,85258-2,85869-6,85935-5,87234-1,87248-1,88352-0,89220-8,89230-7",{Role}|Diabetology|Geriatric medicine|Interdisciplinary|Nurse|Preventive medicine|Primary care|Anesthesiology|Cardiovascular disease|Critical care medicine|Audiology|Allergy+Immunology|Multi-specialty program|Dermatology|Gastroenterology|Colon and rectal surgery|General medicine|Hematology|Dentistry|Clinical genetics|Family medicine|Endocrinology|Mental health|Surgery|Infectious disease|Neonatal perinatal medicine|Nephrology|Neurological surgery|Neurology|Nurse practitioner|Nutrition and dietetics|Occupational therapy|Oncology|Cardiovascular disease+Pulmonary disease|Orthopaedic surgery|Oral and maxillofacial surgery|Radiation oncology|Thoracic and cardiac surgery|Vascular surgery|Transplant surgery|Palliative care|Rheumatology|Pharmacology|Sports medicine|Urology|Physical therapy|Optometry|Pediatric surgery|Social worker|Ophthalmology|Respiratory therapy|Pain medicine|Podiatry|Otolaryngology|Speech-language pathology|Plastic surgery|Pediatrics|Obstetrics and Gynecology|Cardiac surgery|Pulmonary disease|Surgical oncology|Reproductive endocrinology and infertility|Radiation oncology.nurse|Physical medicine and rehab|Psychiatry|Psychology|Recreational therapy|Spinal cord injury medicine|Hematology+Medical oncology|Hepatology|Kinesiotherapy|Pastoral care|Orthotics prosthetics|Internal medicine|Radiology|Radiology.nurse|Womens health|Vocational rehabilitation|Dialysis|Addiction medicine|Polytrauma|Gynecology|Obstetrics
Education note,Hospital,Doc,2,"68477-9,68605-5",Nurse|Recreational therapy
Education note,Outpatient,Doc,3,"34902-7,67855-7,84320-1",Geriatric medicine|{Role}|Physical therapy
Efavirenz,Isolate,OrdQn,2,"30277-8,30306-5",Phenotyping|NA
Efavirenz,Ser/Plas,Qn,2,"29117-9,33928-3",NA|NA
Effective orifice area.diastole,Mitral valve,Qn,2,"80067-2,80069-8",US.doppler+Calculated by PISA method|US.doppler.pressure half time
Effective orifice area.systole,Aortic valve,Qn,2,"79956-9,79958-5",US.doppler+Calculated by continuity Vmax|US.doppler+Calculated by continuity VTI
Effective orifice area.systole/Body surface area,Aortic valve,Qn,2,"79957-7,79959-3",US.doppler+Calculated by continuity Vmax|US.doppler+Calculated by continuity VTI
Effective regurgitant orifice area,Aortic valve,Qn,2,"77909-0,77910-8",US.doppler+Calculated by PISA method|US.doppler+Calculated by volumetric method
Effective regurgitant orifice area,Mitral valve,Qn,2,"29448-8,77914-0",US.doppler+Calculated by PISA method|US.doppler+Calculated by volumetric method
Effective regurgitant orifice area,Tricuspid valve,Qn,2,"81093-7,81094-5",US.doppler+Calculated by PISA method|US.doppler+Calculated by volumetric method
Egg white Ab.IgG,Ser,Qn,2,"35535-4,6725-6",NA|NA
Egg white Ab.IgG4,Ser,Qn,2,"26423-4,56253-8",NA|NA
Egg whole Ab.IgG,Ser,Qn,2,"45201-1,7292-6",NA|NA
Egg yolk Ab.IgG,Ser,Qn,2,"35536-2,7294-2",NA|NA
Ehrlichia canis Ab,Ser,Ord,3,"23054-0,6400-6,7874-1",IF|IA|NA
